User Library,Age Group ,Number of Active Cardholders
All Branches (Total) ,0-2,180
All Branches (Total) ,3-6,7588
All Branches (Total) ,7-11,10005
All Branches (Total) ,12-18,26906
All Branches (Total) ,19-29,12930
All Branches (Total) ,30-48,26258
All Branches (Total) ,49-63,16120
All Branches (Total) ,64-71,11526
All Branches (Total) ,72+,10918
Aberdeen,0-2,4
Aberdeen,3-6,615
Aberdeen,7-11,1424
Aberdeen,12-18,2385
Aberdeen,19-29,632
Aberdeen,30-48,1118
Aberdeen,49-63,681
Aberdeen,64-71,427
Aberdeen,72+,361
Amanda Park,0-2,0
Amanda Park,3-6,20
Amanda Park,7-11,40
Amanda Park,12-18,51
Amanda Park,19-29,59
Amanda Park,30-48,69
Amanda Park,49-63,36
Amanda Park,64-71,36
Amanda Park,72+,28
Centralia,0-2,4
Centralia,3-6,379
Centralia,7-11,354
Centralia,12-18,632
Centralia,19-29,739
Centralia,30-48,1412
Centralia,49-63,813
Centralia,64-71,539
Centralia,72+,474
Chehalis,0-2,8
Chehalis,3-6,355
Chehalis,7-11,413
Chehalis,12-18,767
Chehalis,19-29,1704
Chehalis,30-48,1024
Chehalis,49-63,733
Chehalis,64-71,500
Chehalis,72+,426
Elma,0-2,3
Elma,3-6,266
Elma,7-11,697
Elma,12-18,393
Elma,19-29,209
Elma,30-48,371
Elma,49-63,264
Elma,64-71,144
Elma,72+,141
Hoodsport,0-2,2
Hoodsport,3-6,8
Hoodsport,7-11,7
Hoodsport,12-18,12
Hoodsport,19-29,55
Hoodsport,30-48,158
Hoodsport,49-63,144
Hoodsport,64-71,157
Hoodsport,72+,159
Hoquiam,0-2,1
Hoquiam,3-6,37
Hoquiam,7-11,78
Hoquiam,12-18,183
Hoquiam,19-29,225
Hoquiam,30-48,467
Hoquiam,49-63,301
Hoquiam,64-71,192
Hoquiam,72+,215
Ilwaco,0-2,0
Ilwaco,3-6,14
Ilwaco,7-11,22
Ilwaco,12-18,56
Ilwaco,19-29,83
Ilwaco,30-48,211
Ilwaco,49-63,243
Ilwaco,64-71,239
Ilwaco,72+,246
Lacey,0-2,48
Lacey,3-6,1747
Lacey,7-11,2155
Lacey,12-18,2654
Lacey,19-29,2443
Lacey,30-48,6103
Lacey,49-63,2962
Lacey,64-71,2251
Lacey,72+,2389
Maintenance,0-2,0
Maintenance,3-6,0
Maintenance,7-11,0
Maintenance,12-18,1
Maintenance,19-29,0
Maintenance,30-48,6
Maintenance,49-63,2
Maintenance,64-71,0
Maintenance,72+,0
McCleary,0-2,0
McCleary,3-6,64
McCleary,7-11,85
McCleary,12-18,76
McCleary,19-29,94
McCleary,30-48,119
McCleary,49-63,128
McCleary,64-71,77
McCleary,72+,66
Montesano,0-2,1
Montesano,3-6,22
Montesano,7-11,93
Montesano,12-18,132
Montesano,19-29,131
Montesano,30-48,343
Montesano,49-63,244
Montesano,64-71,208
Montesano,72+,186
Morton Kiosk - Centralia College,0-2,0
Morton Kiosk - Centralia College,3-6,2
Morton Kiosk - Centralia College,7-11,1
Morton Kiosk - Centralia College,12-18,4
Morton Kiosk - Centralia College,19-29,24
Morton Kiosk - Centralia College,30-48,25
Morton Kiosk - Centralia College,49-63,16
Morton Kiosk - Centralia College,64-71,10
Morton Kiosk - Centralia College,72+,12
Mountain View (Randle),0-2,0
Mountain View (Randle),3-6,94
Mountain View (Randle),7-11,103
Mountain View (Randle),12-18,212
Mountain View (Randle),19-29,56
Mountain View (Randle),30-48,124
Mountain View (Randle),49-63,117
Mountain View (Randle),64-71,92
Mountain View (Randle),72+,74
Naselle,0-2,0
Naselle,3-6,25
Naselle,7-11,72
Naselle,12-18,192
Naselle,19-29,57
Naselle,30-48,103
Naselle,49-63,77
Naselle,64-71,71
Naselle,72+,65
North Mason (Belfair),0-2,3
North Mason (Belfair),3-6,314
North Mason (Belfair),7-11,311
North Mason (Belfair),12-18,458
North Mason (Belfair),19-29,295
North Mason (Belfair),30-48,788
North Mason (Belfair),49-63,626
North Mason (Belfair),64-71,491
North Mason (Belfair),72+,536
North River School,0-2,0
North River School,3-6,0
North River School,7-11,2
North River School,12-18,10
North River School,19-29,42
North River School,30-48,31
North River School,49-63,12
North River School,64-71,13
North River School,72+,6
Oakville,0-2,3
Oakville,3-6,249
Oakville,7-11,186
Oakville,12-18,222
Oakville,19-29,52
Oakville,30-48,104
Oakville,49-63,64
Oakville,64-71,47
Oakville,72+,37
Ocean Park,0-2,1
Ocean Park,3-6,8
Ocean Park,7-11,33
Ocean Park,12-18,61
Ocean Park,19-29,117
Ocean Park,30-48,299
Ocean Park,49-63,401
Ocean Park,64-71,519
Ocean Park,72+,472
Olympia,0-2,57
Olympia,3-6,1089
Olympia,7-11,1399
Olympia,12-18,3033
Olympia,19-29,2132
Olympia,30-48,5428
Olympia,49-63,3051
Olympia,64-71,2104
Olympia,72+,1744
Packwood,0-2,0
Packwood,3-6,3
Packwood,7-11,14
Packwood,12-18,23
Packwood,19-29,705
Packwood,30-48,434
Packwood,49-63,203
Packwood,64-71,88
Packwood,72+,75
Raymond,0-2,1
Raymond,3-6,81
Raymond,7-11,92
Raymond,12-18,101
Raymond,19-29,120
Raymond,30-48,231
Raymond,49-63,144
Raymond,64-71,126
Raymond,72+,118
Rochester Kiosk,0-2,0
Rochester Kiosk,3-6,0
Rochester Kiosk,7-11,3
Rochester Kiosk,12-18,3
Rochester Kiosk,19-29,13
Rochester Kiosk,30-48,23
Rochester Kiosk,49-63,20
Rochester Kiosk,64-71,7
Rochester Kiosk,72+,8
Salkum,0-2,2
Salkum,3-6,16
Salkum,7-11,40
Salkum,12-18,74
Salkum,19-29,102
Salkum,30-48,303
Salkum,49-63,201
Salkum,64-71,165
Salkum,72+,160
Service Center,0-2,0
Service Center,3-6,0
Service Center,7-11,2
Service Center,12-18,3
Service Center,19-29,23
Service Center,30-48,33
Service Center,49-63,45
Service Center,64-71,48
Service Center,72+,76
Shelton,0-2,9
Shelton,3-6,423
Shelton,7-11,345
Shelton,12-18,894
Shelton,19-29,625
Shelton,30-48,1363
Shelton,49-63,1111
Shelton,64-71,830
Shelton,72+,852
Shoalwater Bay Tribe,0-2,0
Shoalwater Bay Tribe,3-6,0
Shoalwater Bay Tribe,7-11,0
Shoalwater Bay Tribe,12-18,2
Shoalwater Bay Tribe,19-29,7
Shoalwater Bay Tribe,30-48,6
Shoalwater Bay Tribe,49-63,7
Shoalwater Bay Tribe,64-71,3
Shoalwater Bay Tribe,72+,7
South Bend,0-2,12
South Bend,3-6,74
South Bend,7-11,46
South Bend,12-18,88
South Bend,19-29,42
South Bend,30-48,78
South Bend,49-63,81
South Bend,64-71,58
South Bend,72+,66
Tenino,0-2,0
Tenino,3-6,118
Tenino,7-11,205
Tenino,12-18,274
Tenino,19-29,108
Tenino,30-48,275
Tenino,49-63,163
Tenino,64-71,108
Tenino,72+,87
Toledo Kiosk,0-2,0
Toledo Kiosk,3-6,0
Toledo Kiosk,7-11,2
Toledo Kiosk,12-18,8
Toledo Kiosk,19-29,15
Toledo Kiosk,30-48,30
Toledo Kiosk,49-63,23
Toledo Kiosk,64-71,11
Toledo Kiosk,72+,13
Tumwater,0-2,12
Tumwater,3-6,718
Tumwater,7-11,952
Tumwater,12-18,2105
Tumwater,19-29,1065
Tumwater,30-48,3099
Tumwater,49-63,1891
Tumwater,64-71,1157
Tumwater,72+,1004
West Olympia,0-2,0
West Olympia,3-6,14
West Olympia,7-11,35
West Olympia,12-18,52
West Olympia,19-29,142
West Olympia,30-48,185
West Olympia,49-63,108
West Olympia,64-71,73
West Olympia,72+,107
Westport,0-2,0
Westport,3-6,5
Westport,7-11,24
Westport,12-18,48
Westport,19-29,102
Westport,30-48,223
Westport,49-63,272
Westport,64-71,180
Westport,72+,155
Winlock,0-2,0
Winlock,3-6,107
Winlock,7-11,93
Winlock,12-18,131
Winlock,19-29,122
Winlock,30-48,261
Winlock,49-63,203
Winlock,64-71,115
Winlock,72+,174
Yelm,0-2,9
Yelm,3-6,721
Yelm,7-11,677
Yelm,12-18,884
Yelm,19-29,590
Yelm,30-48,1411
Yelm,49-63,733
Yelm,64-71,440
Yelm,72+,379